Cell name,Cell name variations,Cell type,Disease ,Organism,Tissue,Morphology,ATCC,Cellosaurus,Notes
22Rv1,CWR-22rv1; CWR22R,Epithelial cell,Carcinoma,Homo sapiens (human),Prostate,Epithelial,crl-2505,CVCL_1045,
3215 LS,,Fibroblast,,Homo sapiens (human),,,,,"As stated in the original publication (10.1021/acsmedchemlett.5b00258), courtesy of E. Kopantsev (M.M. Shemyakin and Yu.A. Ovchinnikov Institute of Bioorganic Chemistry RAS)."
4T1,4T1-A; 4T1.0; 4T1/WT,,Breast cancer,Mus musculus (mouse),Breast; Mammary gland,Epithelial,crl-2539,CVCL_0125,
4T1-Luc,,,Breast cancer,Mus musculus (mouse),Breast; Mammary gland,Epithelial,,,"Derived from 4T1 mammary carcinoma, engineered to express luciferase for bioluminescent imaging."
67NR,,,Breast cancer,Mus musculus (mouse),Breast; Mammary gland,Epithelial-like,,CVCL_9723,
786-0,786-O; RCC 7860; 7860; 786-0WT,Renal cell,Adenocarcinoma,Homo sapiens (human),Kidney,Epithelial,crl-1932,CVCL_1051,
A2780,2780; A2780S; A2780par,,Endometrioid adenocarcinoma,Homo sapiens (human),Ovary,Epithelial-like,,CVCL_0134,
A2780-CR,,,Endometrioid adenocarcinoma,Homo sapiens (human),Ovary,Epithelial-like,,,"Derived from the A2780 ovarian cancer cell line following resistance development to cisplatin treatment. As stated in the original publication: A2780 Parental, A2780 cisplatin-resistant (A2780-CR) cell lines. Provided by Dr. Tom Hamilton, Fox Chase Cancer Center, Philadelphia, PA. (10.1006/gyno.1996.0026)."
A2780-DR,,,Endometrioid adenocarcinoma,Homo sapiens (human),Ovary,Epithelial-like,,CVCL_EG64,"Derived from the A2780 ovarian cancer cell line following resistance development to doxorubicin treatment. As stated in the original publication: A2780 Parental, A2780 doxorubicin-resistant (A2780-DR). Provided by Dr. Tom Hamilton, Fox Chase Cancer Center, Philadelphia, PA.  (10.1006/gyno.1996.0026)"
A375,A 375; A-375; A375-MEL; A375-mel; A375mel,,Malignant melanoma,Homo sapiens (human),Skin,Epithelial,crl-1619,CVCL_0132,
A431,A-431; A431/P,,Epidermoid carcinoma,Homo sapiens (human),Skin; Epidermis,Epithelial,crl-1555,CVCL_0037,
A498,A-498,Epithelial cell,Carcinoma,Homo sapiens (human),Kidney,Epithelial,htb-44,CVCL_1056,
A549,A 549; NCI-A549; hA549; A549/ATCC,Epithelial cell,Carcinoma,Homo sapiens (human),Lung,Epithelial,crm-ccl-185,CVCL_0023,
ACHN,,Renal cell,Adenocarcinoma,Homo sapiens (human),Kidney,Epithelial,crl-1611,CVCL_1067,
AGS,,,Gastric adenocarcinoma,Homo sapiens (human),Stomach,Epithelial,crl-1739,CVCL_0139,
B-13,AR42J-B13; AR42J-B-13; B13,,,Rattus norvegicus (rat),Pancreas,Hepatocyte-like,,CVCL_0E02,AR42J-B13 (B13) is a sub-clone of the parent line AR42J (10.1210/endo.137.9.8756573; 10.1016/j.tox.2017.05.014).
B-13/H,,,,Rattus norvegicus (rat),Pancreas,Hepatocyte-like,,,B-13/H cells are derived from the В-13 cell line and express many adult hepatocyte genes at adult hepatocyte levels.
B16F10,B16/F10; B16 F10; B16-F10; B16 melanoma F10,,Melanoma,Mus musculus (mouse),Skin,Mixture of spindle-shaped and epithelial-like cells,crl-6475,CVCL_0159,
BALB/3T3 clone A31,,Fibroblast,,Mus musculus (mouse),Embryo,Fibroblast,ccl-163,CVCL_0184,
BGC-823,BGC823,,Cervical adenocarcinoma,Homo sapiens (human),Uterus; Cervix,Epithelial-like,,CVCL_3360,Problematic cell line; contaminated; shown to be a HeLa derivative. Originally thought to be derived from a primary gastric adenocarcinoma. 
BGM,Buffalo Green Monkey cells; BGMK; Buffalo Green Monkey Kidney cells,,,Cercopithecus aethiops (green monkey),Kidney,Epithelial,,CVCL_4125,"BGMK cells are kidney cells from African green monkey, since there is no species named Buffalo green monkey. Spontaneously immortalized cell line. "
BT-20,BT 20; BT20,Epithelial cell,Ductal carcinoma,Homo sapiens (human),Breast; Mammary gland,Epithelial,htb-19,CVCL_0178,
BT-549,BT.549; BT549,Epithelial cell,Ductal carcinoma,Homo sapiens (human),Breast; Mammary gland,Epithelial,htb-122,CVCL_1092,
C6,C-6; C 6; RGC-6; RGC6; RGc6,Glial cell,Glioma,Rattus norvegicus (rat),Brain,Fibroblast,ccl-107,CVCL_0194,
CaCo-2,Caco2; Caco-2/ATCC; Caco-II,Epithelial cell,Colorectal adenocarcinoma,Homo sapiens (human),Large intestine; Colon,Epithelial-like,htb-37,CVCL_0025,
CAK-1,CAKI-1; CaKi-1; caki-1,,Clear cell carcinoma,Homo sapiens (human),Kidney,Epithelial,htb-46,CVCL_0234,
CCO,CCO/BB; Channel Catfish Ovary,,, Ameiurus nebulosus (brown bullhead),,,,CVCL_4142,Problematic cell line; contaminated. Originally thought to originate from the ovary of a juvenile channel catfish (Ictalurus punctatus) but shown to be from brown bullhead (Ameiurus nebulosus).
CCRF-CEM,CCRF/CEM; CCRFCEM; CCRF.CEM; CEM-CCRF (CAMR); CCRF/CEM/0; CEM/0; CEM-0; CCRF-CEM/S; GM03671; GM03671C,T lymphoblast,Acute lymphoblastic leukemia,Homo sapiens (human),Peripheral blood,Lymphoblast,ccl-119,CVCL_0207,
Chang,Chang liver; Chang Liver (HeLa derivative); Chang Cells; Chang; CHL,,Cervical adenocarcinoma,Homo sapiens (human),Uterus; Cervix,Epithelial-like,ccl-13,CVCL_0238,Problematic cell line; contaminated; shown to be a HeLa derivative; originally thought to originate from normal hepatic cells obtained from a liver biopsy of an adult human.
CHO-K1,Chinese hamster Ovary-K1; CHOK1; CHO cell clone K1; GM15452,,,Cricetulus griseus (Chinese hamster),Ovary,Epithelial-like,ccl-61,CVCL_0214,
COLO 205,Co 205; Colorado 205,,Colorectal adenocarcinoma (Dukes' type D),Homo sapiens (human),Large intestine; Colon,Epithelial,ccl-222,CVCL_0218,
Colo320HSR,COLO 320HSR; COLO 320 HSR; COLO-HSR; Colorado 320 Homogeneously Staining Regions,,Colorectal adenocarcinoma (Dukes' type C),Homo sapiens (human),Large intestine; Colon,Rounded and refractile cells,ccl-220.1,CVCL_0220,
CV-1,Cv-1; CV 1; CV-1.K; CV1,,,Cercopithecus aethiops (green monkey),Kidney,Fibroblast,ccl-70,CVCL_0229,
DLA,Dalton's lymphoma,,T-cell lymphoma,Mus musculus (mouse),Thymus,,,,Derived from a lymphoma in a DBA/2 mouse.
DLD-1,DLD 1; DLD1; CoCL3,Epithelial cell,Colorectal adenocarcinoma (Dukes' type C),Homo sapiens (human),Large intestine; Colon,Epithelial,ccl-221,CVCL_0248,
DU-145,DU 145; DU.145; Duke University 145,,Carcinoma,Homo sapiens (human),Prostate,Epithelial,htb-81,CVCL_0105,Isolated from the brain of a 69-year-old male with prostate cancer.
Erythrocytes,,Erythrocyte,,Oryctolagus cuniculus (rabbit),Blood,,,,Erythrocytes from rabbit blood samples.
EA.hy926,EAHY-926; EA.Hy926; Eahy926,Somatic cell hybrid,,Homo sapiens (human),Umbilical vein; Vascular endothelium,Endothelial,crl-2922,CVCL_3901,
Ehrlich-Lettre ascites strain E,Ehrlich-Lettre; Ehrlich Lettre; E-La; EAT; EAT strain E; Ehrlich ascites; Ehrlich; EAC; ELA,,Carcinoma,Mus musculus (mouse),Peritoneum; Ascites,Fusiform,,CVCL_3873,
EKVX,,,Adenocarcinoma,Homo sapiens (human),Lung ,,,CVCL_1195,
FaDu,"	FaDU; FADU",,Squamous cell carcinoma,Homo sapiens (human),Pharynx,Epithelial,htb-43,CVCL_1218,
FHC,Fetal Human Colon,Epithelial cell,,Homo sapiens (human),Fetal large intestine; Colon,Epithelial,crl-1831,CVCL_3688,
Fibro,,Fibroblast,,Homo sapiens (human),Skin,Fibroblast,,,Derived from human skin fibroblasts. Probably the following cell line: https://www.atcc.org/proDucts/pcs-201-018. Mentioned in 10.1016/j.ijpharm.2021.121262.
FL,,,Cervical adenocarcinoma,Homo sapiens (human),Uterus; Cervix,Epithelial-like,,CVCL_1905,Problematic cell line; contaminated; shown to be a HeLa derivative (PubMed=1246601; PubMed=20143388); originally thought to originate from a normal amnion.
GES-1,"	GES1",Epithelial cell,,Homo sapiens (human),Fetal stomach; Epithelium,Epithelial,,CVCL_EQ22,
GF,"	Grunt Fin; Grunt Fin (GF)",Fibroblast,,Haemulon sciurus (bluestriped grunt),Fin tissue,Fibroblast,,CVCL_8875,
H1299,NCI-H1299;  H-1299; NCIH1299,,Non-small cell lung carcinoma,Homo sapiens (human),Lung,Epithelial,crl-5803,CVCL_0060,
H661,H-661; NCIH661; NCI-H661,,Non-small cell lung carcinoma,Homo sapiens (human),Lung,Epithelial,htb-183,CVCL_1577,
HaCat,HaCaT; HaCAT; HACAT; Hacat,Keratinocyte,,Homo sapiens (human),Skin; Epidermis,Keratinocyte,,CVCL_0038,
HCC1937,HCC-1937; HCC/1937; Hamon Cancer Center 1937,Epithelial cell,"Ductal carcinoma (TNM Stage IIB, grade 3)",Homo sapiens (human),Breast; Mammary gland; Duct,Epithelial,crl-2336,CVCL_0290,
HCC-2998,HCC2998; HCC 2998; Hamon Cancer Center 2998; HCC.2998,Epithelial cell,Colon adenocarcinoma,Homo sapiens (human),Colon,Epithelial,,CVCL_1266,
HCE,,Epithelial cell,,Homo sapiens (human),Cornea,Epithelial,,,Derived from primary cultures of human corneal epithelial cells. Possibly HCE-2 cell line (as described in 10.1002/chem.201704924).
HCT-116,HCT 116; HCT.116; HCT116wt; CoCL2,,Colorectal carcinoma,Homo sapiens (human),Large intestine; Colon,Epithelial,ccl-247,CVCL_0291,
HCT-15,HCT.15; HCT15,,Colorectal adenocarcinoma (Dukes' type C),Homo sapiens (human),Large intestine; Colon,Epithelial,ccl-225,CVCL_0292,
HEK293,HEK;293; 293 Ad5; Graham 293; Graham-293; Human Embryonic Kidney 293,,,Homo sapiens (human),Embryo; Kidney,Epithelial,crl-1573,CVCL_0045,
HEK293T,293T; Human Embryonic Kidney 293T; 293tsA1609neo,,,Homo sapiens (human),Embryo; Kidney,Epithelial,crl-3216,CVCL_0063,
HeLa,He-La; HeLa-CCL2; Henrietta Lacks cells; Helacyton gartleri,Epithelial cell,Cervical adenocarcinoma,Homo sapiens (human),Uterus; Cervix,Epithelial,crm-ccl-2,CVCL_0030,
HELF,Human embryonic lung fibroblast,Fibroblast,,Homo sapiens (human),Embryo; Lung,Fibroblast,,,Derived from normal human embryonic lung tissue (as described in 10.1111/cbdd.12612).
Hep-2,HEp-2; HEP-2; Hep2 (HeLa derivative); HEp-2/HeLa; Hep 2; Hep2; HEp2; HEP2; H.Ep.-2; H.Ep. #2; H.Ep. No. 2; Hep II; Human Epidermoid carcinoma #2; Human Epithelioma-2,,Cervical adenocarcinoma,Homo sapiens (human),Uterus; Cervix,Epithelial-like,ccl-23,CVCL_1906,Problematic cell line; contaminated; shown to be a HeLa derivative; originally thought to originate from a 56 year old male patient with a laryngeal carcinoma.
Hep3B,Hep 3B2.1-7; Hep 3B2_1-7; HEP3B217; Hep 3B2; HEP-3B2; HEP3B2; Hep-3B; HEP-3B; Hep 3B;  HEP3B,,Hepatocellular carcinoma,Homo sapiens (human),Liver,Epithelial,hb-8064,CVCL_0326,
HepG2,HEP G2; HepG2; HEPG2,,Hepatocellular carcinoma,Homo sapiens (human),Liver,Epithelial-like,hb-8065,CVCL_0027,
HFF-1,"	HFF1",Fibroblast,,Homo sapiens (human),Skin; Foreskin,Fibroblast,scrc-1041,CVCL_3285,
