Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
(E)-1-decyl-4-((hydroxyimino)methyl)pyridin-1-ium bromide,C16H27BrN2O,159218-40-3,[Br-].ON=CC1=CC=[N+](C=C1)CCCCCCCCCC,CCCCCCCCCC[n+]1ccc(C=NO)cc1.[Br-],343.309,0.108,0.005 (SEM),24,CHO-K1,MTT,"Marek, 2015, Molecules",10.3390/molecules20033681,
(E)-1-dodecyl-4-((hydroxyimino)methyl)pyridin-1-ium bromide,C18H31BrN2O,62036-67-3,[Br-].ON=CC1=CC=[N+](C=C1)CCCCCCCCCCCC,CCCCCCCCCCCC[n+]1ccc(C=NO)cc1.[Br-],371.363,0.016,0.002 (SEM),24,CHO-K1,MTT,"Marek, 2015, Molecules",10.3390/molecules20033681,
(E)-1-hexadecyl-4-((hydroxyimino)methyl)pyridin-1-ium bromide,C22H39BrN2O,74160-03-5,[Br-].ON=CC1=CC=[N+](C=C1)CCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC[n+]1ccc(C=NO)cc1.[Br-],427.471,0.007,0.001 (SEM),24,CHO-K1,MTT,"Marek, 2015, Molecules",10.3390/molecules20033681,
(E)-4-((hydroxyimino)methyl)-1-icosylpyridin-1-ium bromide,C26H47BrN2O,1702697-92-4,[Br-].ON=CC1=CC=[N+](C=C1)CCCCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCCCC[n+]1ccc(C=NO)cc1.[Br-],483.579,0.0029,0.0002 (SEM),24,CHO-K1,MTT,"Marek, 2015, Molecules",10.3390/molecules20033681,
(E)-4-((hydroxyimino)methyl)-1-octadecylpyridin-1-ium bromide,C24H43BrN2O,919281-14-4,[Br-].ON=CC1=CC=[N+](C=C1)CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC[n+]1ccc(C=NO)cc1.[Br-],455.525,0.0035,0.0001 (SEM),24,CHO-K1,MTT,"Marek, 2015, Molecules",10.3390/molecules20033681,
(E)-4-((hydroxyimino)methyl)-1-octylpyridin-1-ium bromide,C14H23BrN2O,81593-18-2,[Br-].ON=CC1=CC=[N+](C=C1)CCCCCCCC,CCCCCCCC[n+]1ccc(C=NO)cc1.[Br-],315.255,>1,,24,CHO-K1,MTT,"Marek, 2015, Molecules",10.3390/molecules20033681,
(E)-4-((hydroxyimino)methyl)-1-tetradecylpyridin-1-ium bromide,C20H35BrN2O,433692-36-5,[Br-].ON=CC1=CC=[N+](C=C1)CCCCCCCCCCCCCC,CCCCCCCCCCCCCC[n+]1ccc(C=NO)cc1.[Br-],399.417,0.014,0.001 (SEM),24,CHO-K1,MTT,"Marek, 2015, Molecules",10.3390/molecules20033681,
"1-(((2R,3R,4S)-3,4-dimethoxytetrahydrofuran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C13H18F3NO6S,,CO[C@H]1[C@@H](OC)CO[C@@H]1C[N+]2=CC=CC=C2.O=S(C(F)(F)F)([O-])=O,CO[C@H]1CO[C@H](C[n+]2ccccc2)[C@H]1OC.O=S(=O)([O-])C(F)(F)F,373.349,46.4,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3R,4S)-3,4-dipropoxytetrahydrofuran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C17H26F3NO6S,,CCCO[C@@H]1[C@H](OCCC)[C@@H](C[N+]2=CC=CC=C2)OC1.O=S(C(F)(F)F)([O-])=O,CCCO[C@H]1CO[C@H](C[n+]2ccccc2)[C@H]1OCCC.O=S(=O)([O-])C(F)(F)F,429.457,136.62,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3R,4S,5R,6R)-3,4,5,6-tetramethoxytetrahydro-2H-pyran-2-yl)methyl)pyridin-1-ium 4-methylbenzenesulfonate",C22H31NO8S,,CO[C@H]1[C@H](OC)[C@@H](OC)[C@H](OC)[C@@H](C[N+]2=CC=CC=C2)O1.O=S(C3=CC=C(C)C=C3)([O-])=O,CO[C@H]1[C@H](OC)[C@@H](C[n+]2ccccc2)O[C@@H](OC)[C@@H]1OC.Cc1ccc(S(=O)(=O)[O-])cc1,469.556,51.49,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3R,4S,5R,6R)-3,4,5,6-tetramethoxytetrahydro-2H-pyran-2-yl)methyl)pyridin-1-ium methanesulfonate",C16H27NO8S,,CO[C@H]1[C@H](OC)[C@@H](OC)[C@H](OC)[C@@H](C[N+]2=CC=CC=C2)O1.CS(=O)([O-])=O,CO[C@H]1[C@H](OC)[C@@H](C[n+]2ccccc2)O[C@@H](OC)[C@@H]1OC.CS(=O)(=O)[O-],393.458,57.6,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3R,4S,5R,6R)-3,4,5,6-tetramethoxytetrahydro-2H-pyran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C16H24F3NO8S,,CO[C@H]1[C@H](OC)[C@@H](OC)[C@H](OC)[C@@H](C[N+]2=CC=CC=C2)O1.O=S(C(F)(F)F)([O-])=O,CO[C@H]1[C@H](OC)[C@@H](C[n+]2ccccc2)O[C@@H](OC)[C@@H]1OC.O=S(=O)([O-])C(F)(F)F,447.428,41.73,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3R,4S,5R,6R)-6-(allyloxy)-3,4,5-trimethoxytetrahydro-2H-pyran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C18H26F3NO8S,,CO[C@@H]1[C@@H](OC)[C@H](OC)[C@@H](C[N+]2=CC=CC=C2)O[C@H]1OCC=C.O=S(C(F)(F)F)([O-])=O,C=CCO[C@@H]1O[C@H](C[n+]2ccccc2)[C@@H](OC)[C@H](OC)[C@H]1OC.O=S(=O)([O-])C(F)(F)F,473.466,36.4,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3R,4S,5R,6S)-3,4,5,6-tetramethoxytetrahydro-2H-pyran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C16H24F3NO8S,,CO[C@@H]1[C@H](OC)[C@@H](OC)[C@H](OC)[C@@H](C[N+]2=CC=CC=C2)O1.O=S(C(F)(F)F)([O-])=O,CO[C@H]1O[C@H](C[n+]2ccccc2)[C@@H](OC)[C@H](OC)[C@H]1OC.O=S(=O)([O-])C(F)(F)F,447.428,49.88,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3S,4R)-3,4-dimethoxytetrahydrofuran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C13H18F3NO6S,,CO[C@H]1[C@@H](OC)[C@@H](C[N+]2=CC=CC=C2)OC1.O=S(C(F)(F)F)([O-])=O,CO[C@@H]1[C@H](OC)CO[C@@H]1C[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,373.349,25.19,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3S,4S)-3,4-dihydroxytetrahydrofuran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C11H14F3NO6S,,O[C@@H]1[C@H](O)[C@@H](C[N+]2=CC=CC=C2)OC1.O=S(C(F)(F)F)([O-])=O,O=S(=O)([O-])C(F)(F)F.O[C@H]1CO[C@H](C[n+]2ccccc2)[C@H]1O,345.295,54.8,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2R,3S,4S)-3,4-dimethoxytetrahydrofuran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C13H18F3NO6S,,CO[C@@H]1[C@@H](OC)[C@@H](C[N+]2=CC=CC=C2)OC1.O=S(C(F)(F)F)([O-])=O,CO[C@H]1CO[C@H](C[n+]2ccccc2)[C@@H]1OC.O=S(=O)([O-])C(F)(F)F,373.349,38.65,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-(((2S,3S,4S)-3,4-dimethoxytetrahydrofuran-2-yl)methyl)pyridin-1-ium trifluoromethanesulfonate",C13H18F3NO6S,,CO[C@@H]1[C@@H](OC)[C@H](C[N+]2=CC=CC=C2)OC1.O=S(C(F)(F)F)([O-])=O,CO[C@H]1CO[C@@H](C[n+]2ccccc2)[C@@H]1OC.O=S(=O)([O-])C(F)(F)F,373.349,40.37,,24,L929,CellQuanti-Blue,"Reiß, 2020, RSC Adv.",10.1039/d0ra01370f,
"1-((heptyloxy)methyl)-3-hydroxypyridin-1-ium 3-oxo-3H-benzo[d]isothiazol-2-ide 1,1-dioxide",C20H26N2O5S,1127350-83-7,O=C1[N-]S(=O)(=O)C=2C=CC=CC12.OC1=CC=C[N+](=C1)COCCCCCCC,CCCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,406.504,1.1,0.09 (ND),44,IPC-81,WST-1,"Stasiewicz, 2008, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2007.08.011,
"1-((heptyloxy)methyl)-3-hydroxypyridin-1-ium 6-methyl-4-oxo-4H-1,2,3-oxathiazin-3-ide 2,2-dioxide",C17H26N2O6S,1127350-77-9,O=C1[N-]S(=O)(=O)OC(=C1)C.OC1=CC=C[N+](=C1)COCCCCCCC,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCCOC[n+]1cccc(O)c1,386.47,1.1,0.14 (ND),44,IPC-81,WST-1,"Stasiewicz, 2008, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2007.08.011,
1-((heptyloxy)methyl)-3-hydroxypyridin-1-ium chloride,C13H22ClNO2,454234-74-3,[Cl-].OC1=CC=C[N+](=C1)COCCCCCCC,CCCCCCCOC[n+]1cccc(O)c1.[Cl-],259.777,1.05,0.13 (ND),44,IPC-81,WST-1,"Stasiewicz, 2008, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2007.08.011,
"1-((hexyloxy)methyl)-3-hydroxypyridin-1-ium 3-oxo-3H-benzo[d]isothiazol-2-ide 1,1-dioxide",C19H24N2O5S,1127350-82-6,O=C1[N-]S(=O)(=O)C=2C=CC=CC12.OC1=CC=C[N+](=C1)COCCCCCC,CCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,392.477,2.2,0.27 (ND),44,IPC-81,WST-1,"Stasiewicz, 2008, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2007.08.011,
"1-((hexyloxy)methyl)-3-hydroxypyridin-1-ium 6-methyl-4-oxo-4H-1,2,3-oxathiazin-3-ide 2,2-dioxide",C16H24N2O6S,1127350-76-8,O=C1[N-]S(=O)(=O)OC(=C1)C.OC1=CC=C[N+](=C1)COCCCCCC,CC1=CC(=O)[N-]S(=O)(=O)O1.CCCCCCOC[n+]1cccc(O)c1,372.443,2.4,0.11 (ND),44,IPC-81,WST-1,"Stasiewicz, 2008, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2007.08.011,
1-((methylthio)methyl)pyridin-1-ium chloride,C7H10ClNS,5983-12-0,[Cl-].S(C)C[N+]=1C=CC=CC1,CSC[n+]1ccccc1.[Cl-],175.684,>0.5,,24,HeLa,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
1-((methylthio)methyl)pyridin-1-ium chloride,C7H10ClNS,5983-12-0,[Cl-].S(C)C[N+]=1C=CC=CC1,CSC[n+]1ccccc1.[Cl-],175.684,>0.5,,48,HeLa,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
1-((methylthio)methyl)pyridin-1-ium chloride,C7H10ClNS,5983-12-0,[Cl-].S(C)C[N+]=1C=CC=CC1,CSC[n+]1ccccc1.[Cl-],175.684,>0.5,,24,K562,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
1-((methylthio)methyl)pyridin-1-ium chloride,C7H10ClNS,5983-12-0,[Cl-].S(C)C[N+]=1C=CC=CC1,CSC[n+]1ccccc1.[Cl-],175.684,>0.5,,48,K562,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
1-((methylthio)methyl)pyridin-1-ium chloride,C7H10ClNS,5983-12-0,[Cl-].S(C)C[N+]=1C=CC=CC1,CSC[n+]1ccccc1.[Cl-],175.684,>0.5,,24,HUVEC,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
1-((methylthio)methyl)pyridin-1-ium chloride,C7H10ClNS,5983-12-0,[Cl-].S(C)C[N+]=1C=CC=CC1,CSC[n+]1ccccc1.[Cl-],175.684,>0.5,,48,HUVEC,MTT,"Bachowska, 2012, ChemistryOPEN",10.1002/open.201100003,
"1-(1-(2,3-dihydroxypropoxy)hexadecan-2-yl)pyridin-1-ium bromide;1-(2-(2,3-dihydroxypropoxy)hexadecyl)pyridin-1-ium bromide (50/50 isomer ratio)",C24H44BrNO3;C24H44BrNO3,1111653-59-8;1111653-60-1,[Br-].OCC(O)COCC([N+]=1C=CC=CC1)CCCCCCCCCCCCCC;[Br-].OCC(O)COC(C[N+]=1C=CC=CC1)CCCCCCCCCCCCCC,CCCCCCCCCCCCCCC(COCC(O)CO)[n+]1ccccc1.[Br-];CCCCCCCCCCCCCCC(C[n+]1ccccc1)OCC(O)CO.[Br-],474.524;474.524,0.01185,,24,C6,MTT,"Singh, 2009, Ind. Eng. Chem. Res.",10.1021/ie801737m,Cytotoxicity is given for a mixture of substances.
"1-(1-(2,3-dihydroxypropoxy)hexadecan-2-yl)pyridin-1-ium bromide;1-(2-(2,3-dihydroxypropoxy)hexadecyl)pyridin-1-ium bromide (50/50 isomer ratio)",C24H44BrNO3;C24H44BrNO3,1111653-59-8;1111653-60-1,[Br-].OCC(O)COCC([N+]=1C=CC=CC1)CCCCCCCCCCCCCC;[Br-].OCC(O)COC(C[N+]=1C=CC=CC1)CCCCCCCCCCCCCC,CCCCCCCCCCCCCCC(COCC(O)CO)[n+]1ccccc1.[Br-];CCCCCCCCCCCCCCC(C[n+]1ccccc1)OCC(O)CO.[Br-],474.524;474.524,0.08,,2,RBC,Hemoglobin release,"Singh, 2009, Ind. Eng. Chem. Res.",10.1021/ie801737m,Cytotoxicity is given for a mixture of substances.
"1-(2-(2,3-dihydroxypropoxy)dodecyl)pyridin-1-ium bromide;1-(1-(2,3-dihydroxypropoxy)dodecan-2-yl)pyridin-1-ium bromide (46/54 isomer ratio)",C20H36BrNO3;C20H36BrNO3,1111653-54-3;1111653-53-2,[Br-].OCC(O)COC(C[N+]=1C=CC=CC1)CCCCCCCCCC;[Br-].OCC(O)COCC([N+]=1C=CC=CC1)CCCCCCCCCC,CCCCCCCCCCC(C[n+]1ccccc1)OCC(O)CO.[Br-];CCCCCCCCCCC(COCC(O)CO)[n+]1ccccc1.[Br-],418.416;418.416,0.03599,,24,C6,MTT,"Singh, 2009, Ind. Eng. Chem. Res.",10.1021/ie801737m,Cytotoxicity is given for a mixture of substances.
