Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw,g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-butylquinolin-1-ium bromide,C13H16BrN,31537-79-8,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCC,CCCC[n+]1cccc2ccccc21.[Br-],266.182,0.209,,48.0,IPC-81,WST-1,"Ranke, 2007, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2006.08.008,Lg(EC50) = 2.32 (uM).
1-butylquinolin-1-ium tetrafluoroborate,C13H16BF4N,952429-68-4,F[B-](F)(F)F.C=1C=CC2=C(C1)C=CC=[N+]2CCCC,CCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,273.082,0.145,,44.0,IPC-81,WST-1,"Ranke, 2007, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2006.08.008,Lg(EC50) = 2.16 (uM).
1-decylquinolin-1-ium bromide,C19H28BrN,15001-43-1,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCC,CCCCCCCCCC[n+]1cccc2ccccc21.[Br-],350.344,0.014,,24.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-dodecyl-6-hydroxyquinolin-1-ium bromide,C21H32BrNO,1632500-49-2,[Br-].OC1=CC=C2C(C=CC=[N+]2CCCCCCCCCCCC)=C1,CCCCCCCCCCCC[n+]1cccc2cc(O)ccc21.[Br-],394.397,0.05,0.004 (SEM),24.0,CHO-K1,MTT,"Malinak, 2014, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2014.09.060,
1-dodecylquinolin-1-ium bromide,C21H32BrN,14847-86-0,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCC,CCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],378.398,0.006,,24.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-hexadecyl-6-hydroxyquinolin-1-ium bromide,C25H40BrNO,1632500-51-6,[Br-].OC1=CC=C2C(C=CC=[N+]2CCCCCCCCCCCCCCCC)=C1,CCCCCCCCCCCCCCCC[n+]1cccc2cc(O)ccc21.[Br-],450.505,0.02,0.001 (SEM),24.0,CHO-K1,MTT,"Malinak, 2014, Bioorg. Med. Chem. Lett.",10.1016/j.bmcl.2014.09.060,
1-hexylquinolin-1-ium tetrafluoroborate,C15H20BF4N,952429-69-5,F[B-](F)(F)F.C=1C=CC2=C(C1)C=CC=[N+]2CCCCCC,CCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,301.136,0.012,,44.0,IPC-81,WST-1,"Ranke, 2007, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2006.08.008,Lg(EC50) = 1.07 (uM).
1-octadecylquinolin-1-ium bromide,C27H44BrN,14847-88-2,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC[n+]1cccc2ccccc21.[Br-],462.56,0.003,,24.0,NIH/3T3,MTT,"McLaughlin, 2011, Green Chem.",10.1039/c0gc00813c,
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,0.001,,72.0,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-octylquinolin-1-ium bromide,C17H24BrN,14848-21-6,[Br-].C=1C=CC2=C(C1)C=CC=[N+]2CCCCCCCC,CCCCCCCC[n+]1cccc2ccccc21.[Br-],322.29,0.00093,,44.0,IPC-81,WST-1,"Ranke, 2007, Ecotoxicol. Environ. Saf.",10.1016/j.ecoenv.2006.08.008,Lg(EC50) = -0.03 (uM).
