Name,Empirical formula,CAS,SMILES,Canonical SMILES,Mw. g*mol-1,"CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
"((5-acetoxy-4,6-dimethylpyridin-3-yl)methyl)tributylphosphonium chloride",C22H39ClNO2P,2043362-13-4,[Cl-].O=C(OC=1C(=NC=C(C1C)C[P+](CCCC)(CCCC)CCCC)C)C,CCCC[P+](CCCC)(CCCC)Cc1cnc(C)c(OC(C)=O)c1C.[Cl-],415.986,1.532,,72,MCF-7,MTT,"Shtyrlin, 2016, Russ. Chem. Bull.",10.1007/s11172-016-1334-y,
"((5-acetoxy-4,6-dimethylpyridin-3-yl)methyl)triphenylphosphonium chloride",C28H27ClNO2P,2043362-09-8,[Cl-].O=C(OC=1C(=NC=C(C1C)C[P+](C=2C=CC=CC2)(C=3C=CC=CC3)C=4C=CC=CC4)C)C,CC(=O)Oc1c(C)ncc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c1C.[Cl-],475.956,0.2055,,72,MCF-7,MTT,"Shtyrlin, 2016, Russ. Chem. Bull.",10.1007/s11172-016-1334-y,
"((5-acetoxy-4,6-dimethylpyridin-3-yl)methyl)tri-p-tolylphosphonium chloride",C31H33ClNO2P,2043362-11-2,[Cl-].O=C(OC=1C(=NC=C(C1C)C[P+](C2=CC=C(C=C2)C)(C3=CC=C(C=C3)C)C4=CC=C(C=C4)C)C)C,CC(=O)Oc1c(C)ncc(C[P+](c2ccc(C)cc2)(c2ccc(C)cc2)c2ccc(C)cc2)c1C.[Cl-],518.037,0.0028,,72,MCF-7,MTT,"Shtyrlin, 2016, Russ. Chem. Bull.",10.1007/s11172-016-1334-y,
"(10-((4,5-dihydroxy-7-methyl-9,10-dioxo-9,10-dihydroanthracen-2-yl)oxy)decyl)triphenylphosphonium bromide",C43H44BrO5P,1809098-13-2,[Br-].O=C1C=2C=C(OCCCCCCCCCC[P+](C=3C=CC=CC3)(C=4C=CC=CC4)C=5C=CC=CC5)C=C(O)C2C(=O)C6=C(O)C=C(C=C16)C,Cc1cc(O)c2c(c1)C(=O)c1cc(OCCCCCCCCCC[P+](c3ccccc3)(c3ccccc3)c3ccccc3)cc(O)c1C2=O.[Br-],751.698,0.00203,0.00013 (ND),24,A375,MTT,"Yang, 2015, Chem. Biol. Drug Des.",10.1111/cbdd.12612,
"(10-((4,5-dihydroxy-7-methyl-9,10-dioxo-9,10-dihydroanthracen-2-yl)oxy)decyl)triphenylphosphonium bromide",C43H44BrO5P,1809098-13-2,[Br-].O=C1C=2C=C(OCCCCCCCCCC[P+](C=3C=CC=CC3)(C=4C=CC=CC4)C=5C=CC=CC5)C=C(O)C2C(=O)C6=C(O)C=C(C=C16)C,Cc1cc(O)c2c(c1)C(=O)c1cc(OCCCCCCCCCC[P+](c3ccccc3)(c3ccccc3)c3ccccc3)cc(O)c1C2=O.[Br-],751.698,0.00562,0.00035 (ND),24,BGC-823,MTT,"Yang, 2015, Chem. Biol. Drug Des.",10.1111/cbdd.12612,
"(10-((4,5-dihydroxy-7-methyl-9,10-dioxo-9,10-dihydroanthracen-2-yl)oxy)decyl)triphenylphosphonium bromide",C43H44BrO5P,1809098-13-2,[Br-].O=C1C=2C=C(OCCCCCCCCCC[P+](C=3C=CC=CC3)(C=4C=CC=CC4)C=5C=CC=CC5)C=C(O)C2C(=O)C6=C(O)C=C(C=C16)C,Cc1cc(O)c2c(c1)C(=O)c1cc(OCCCCCCCCCC[P+](c3ccccc3)(c3ccccc3)c3ccccc3)cc(O)c1C2=O.[Br-],751.698,0.00178,0.00006 (ND),24,HepG2,MTT,"Yang, 2015, Chem. Biol. Drug Des.",10.1111/cbdd.12612,
"(10-((4,5-dihydroxy-7-methyl-9,10-dioxo-9,10-dihydroanthracen-2-yl)oxy)decyl)triphenylphosphonium bromide",C43H44BrO5P,1809098-13-2,[Br-].O=C1C=2C=C(OCCCCCCCCCC[P+](C=3C=CC=CC3)(C=4C=CC=CC4)C=5C=CC=CC5)C=C(O)C2C(=O)C6=C(O)C=C(C=C16)C,Cc1cc(O)c2c(c1)C(=O)c1cc(OCCCCCCCCCC[P+](c3ccccc3)(c3ccccc3)c3ccccc3)cc(O)c1C2=O.[Br-],751.698,0.0014,0.00015 (ND),24,HELF,MTT,"Yang, 2015, Chem. Biol. Drug Des.",10.1111/cbdd.12612,
(11-methoxy-11-oxoundecyl)triphenylphosphonium bromide,C30H38BrO2P,68532-63-8,[Br-].O=C(OC)CCCCCCCCCC[P+](C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,COC(=O)CCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],541.51,0.00359,0.002762-0.00467 (CI),72,HeLa,MTT,"Dhanya, 2018, Anticancer Agents Med Chem.",10.2174/1871520617666170719154249,
(11-methoxy-11-oxoundecyl)triphenylphosphonium bromide,C30H38BrO2P,68532-63-8,[Br-].O=C(OC)CCCCCCCCCC[P+](C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,COC(=O)CCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],541.51,0.00371,0.00306-0.00451 (CI),72,MCF-7,MTT,"Dhanya, 2018, Anticancer Agents Med Chem.",10.2174/1871520617666170719154249,
(11-methoxy-11-oxoundecyl)triphenylphosphonium bromide,C30H38BrO2P,68532-63-8,[Br-].O=C(OC)CCCCCCCCCC[P+](C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,COC(=O)CCCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],541.51,>0.050,,72,MCF-10A,MTT,"Dhanya, 2018, Anticancer Agents Med Chem.",10.2174/1871520617666170719154249,
