Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw,g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
1-(2-ethoxyethyl)-1-methylpyrrolidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,663628-46-4,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(CC)CC[N+]1(C)CCCC1,CCOCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,1.6,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-ethoxyethyl)-1-methylpyrrolidin-1-ium bromide,C9H20BrNO,833446-39-2,[Br-].O(CC)CC[N+]1(C)CCCC1,CCOCC[N+]1(C)CCCC1.[Br-],238.169,20.0,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-hydroxyethyl)-1-methylpyrrolidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C9H16F6N2O5S2,757212-04-7,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCC[N+]1(C)CCCC1,C[N+]1(CCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,410.358,5.2,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-hydroxyethyl)-1-methylpyrrolidin-1-ium iodide,C7H16INO,54770-67-1,[I-].OCC[N+]1(C)CCCC1,C[N+]1(CCO)CCCC1.[I-],257.115,20.0,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-methoxyethyl)-1-methylpyrrolidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C10H18F6N2O5S2,757240-24-7,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CC[N+]1(C)CCCC1,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,424.385,2.0,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(2-methoxyethyl)-1-methylpyrrolidin-1-ium chloride,C8H18ClNO,1012794-01-2,[Cl-].O(C)CC[N+]1(C)CCCC1,COCC[N+]1(C)CCCC1.[Cl-],179.691,20.0,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-hydroxypropyl)-1-methylpyrrolidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C10H18F6N2O5S2,1332694-08-2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCCC[N+]1(C)CCCC1,C[N+]1(CCCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,424.385,4.0,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-hydroxypropyl)-1-methylpyrrolidin-1-ium chloride,C8H18ClNO,941584-15-2,[Cl-].OCCC[N+]1(C)CCCC1,C[N+]1(CCCO)CCCC1.[Cl-],179.691,20.0,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-methoxypropyl)-1-methylpyrrolidin-1-ium bis((trifluoromethyl)sulfonyl)imide,C11H20F6N2O5S2,1373334-04-3,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.O(C)CCC[N+]1(C)CCCC1,COCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,438.412,2.5,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
1-(3-methoxypropyl)-1-methylpyrrolidin-1-ium chloride,C9H20ClNO,1012794-05-6,[Cl-].O(C)CCC[N+]1(C)CCCC1,COCCC[N+]1(C)CCCC1.[Cl-],193.718,20.0,,72,IPC-81,WST-1,"Stolte, 2007, Green Chem.",10.1039/b615326g,
