Name,Empirical formula,CAS,SMILES,Canonical SMILES,"Mw, g*mol-1","CC50/IC50/EC50, mM","Statistics (95% CI, SEM, SD, RMSE, SE etc.)","Incubation time, h",Cell line,Method,Reference (author+year+journal),doi,Notes
(R)-N-((dimethylamino)((1-(octadecyloxy)-1-oxo-3-phenylpropan-2-yl)amino)methylene)-N-methylmethanaminium chloride,C32H58ClN3O2,,O=C(OCCCCCCCCCCCCCCCCCC)[C@@H](CC1=CC=CC=C1)N/C(N(C)C)=[N+](C)/C.[Cl-],CCCCCCCCCCCCCCCCCCOC(=O)[C@@H](Cc1ccccc1)NC(N(C)C)=[N+](C)C.[Cl-],552.288,0.0022,0.000199 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,
"(S)-2-((1-(decyloxy)-3-(4-(decyloxy)phenyl)-1-oxopropan-2-yl)amino)-1,3-dimethyl-4,5-dihydro-1H-imidazol-3-ium chloride",C34H60ClN3O3,2064090-92-0,O=C([C@@H](NC1=[N+](C)CCN1C)CC2=CC=C(C=C2)OCCCCCCCCCC)OCCCCCCCCCC.[Cl-],CCCCCCCCCCOC(=O)[C@H](Cc1ccc(OCCCCCCCCCC)cc1)NC1=[N+](C)CCN1C.[Cl-],594.325,0.0037,0.00168 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
(S)-N-(((1-(decyloxy)-1-oxo-3-(4-(tetradecyloxy)phenyl)propan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride,C38H70ClN3O3,2376443-72-8,O=C(OCCCCCCCCCC)[C@H](CC1=CC=C(OCCCCCCCCCCCCCC)C=C1)N/C(N(C)C)=[N+](C)/C.[Cl-],CCCCCCCCCCCCCCOc1ccc(C[C@H](NC(N(C)C)=[N+](C)C)C(=O)OCCCCCCCCCC)cc1.[Cl-],652.449,0.05066,0.0125 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
(S)-N-(((1-(decyloxy)-1-oxo-3-phenylpropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride,C24H42ClN3O2,2376443-07-9,O=C(OCCCCCCCCCC)[C@H](CC1=CC=CC=C1)N/C(N(C)C)=[N+](C)/C.[Cl-],CCCCCCCCCCOC(=O)[C@H](Cc1ccccc1)NC(N(C)C)=[N+](C)C.[Cl-],440.072,0.00205,0.00068 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
(S)-N-(((1-(decyloxy)-3-(4-(decyloxy)phenyl)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride,C34H62ClN3O3,2064090-81-7,O=C(OCCCCCCCCCC)[C@H](CC1=CC=C(OCCCCCCCCCC)C=C1)N/C(N(C)C)=[N+](C)/C.[Cl-],CCCCCCCCCCOC(=O)[C@H](Cc1ccc(OCCCCCCCCCC)cc1)NC(N(C)C)=[N+](C)C.[Cl-],596.341,0.00285,0.00101 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
(S)-N-(((1-(decyloxy)-3-(4-(hexadecyloxy)phenyl)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride,C40H74ClN3O3,2376443-74-0,O=C(OCCCCCCCCCC)[C@H](CC1=CC=C(OCCCCCCCCCCCCCCCC)C=C1)N/C(N(C)C)=[N+](C)\C.[Cl-],CCCCCCCCCCCCCCCCOc1ccc(C[C@H](NC(N(C)C)=[N+](C)C)C(=O)OCCCCCCCCCC)cc1.[Cl-],680.503,0.05885,0.0142 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
(S)-N-(((1-(decyloxy)-3-(4-(octadecyloxy)phenyl)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride,C42H78ClN3O3,2376443-76-2,O=C(OCCCCCCCCCC)[C@H](CC1=CC=C(OCCCCCCCCCCCCCCCCCC)C=C1)N/C(N(C)C)=[N+](C)\C.[Cl-],CCCCCCCCCCCCCCCCCCOc1ccc(C[C@H](NC(N(C)C)=[N+](C)C)C(=O)OCCCCCCCCCC)cc1.[Cl-],708.557,0.06873,0.0243 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
(S)-N-(((1-(decyloxy)-3-(4-(octyloxy)phenyl)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride,C32H58ClN3O3,2376443-13-7,O=C(OCCCCCCCCCC)[C@H](CC1=CC=C(OCCCCCCCC)C=C1)N/C(N(C)C)=[N+](C)/C.[Cl-],CCCCCCCCCCOC(=O)[C@H](Cc1ccc(OCCCCCCCC)cc1)NC(N(C)C)=[N+](C)C.[Cl-],568.287,0.00489,0.0013 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
"(S)-N-(((3-(3,4-bis(decyloxy)phenyl)-1-(decyloxy)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride",C44H82ClN3O4,2376443-78-4,C/[N+](C)=C(N[C@@H](CC1=CC=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C1)C(OCCCCCCCCCC)=O)/N(C)C.[Cl-],CCCCCCCCCCOC(=O)[C@H](Cc1ccc(OCCCCCCCCCC)c(OCCCCCCCCCC)c1)NC(N(C)C)=[N+](C)C.[Cl-],752.61,>0.12,,72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
"(S)-N-(((3-(3,4-bis(decyloxy)phenyl)-1-(octadecyloxy)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride",C52H98ClN3O4,2376443-58-0,C/[N+](C)=C(N[C@@H](CC1=CC=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C1)C(OCCCCCCCCCCCCCCCCCC)=O)/N(C)C.[Cl-],CCCCCCCCCCCCCCCCCCOC(=O)[C@H](Cc1ccc(OCCCCCCCCCC)c(OCCCCCCCCCC)c1)NC(N(C)C)=[N+](C)C.[Cl-],864.826,0.00343,0.00084 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
"(S)-N-(((3-(3,4-bis(dodecyloxy)phenyl)-1-(octadecyloxy)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride",C56H106ClN3O4,2376443-60-4,C/[N+](C)=C(N[C@@H](CC1=CC=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C1)C(OCCCCCCCCCCCCCCCCCC)=O)/N(C)C.[Cl-],CCCCCCCCCCCCCCCCCCOC(=O)[C@H](Cc1ccc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c1)NC(N(C)C)=[N+](C)C.[Cl-],920.934,0.00896,0.00014 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
"(S)-N-(((3-(3,4-bis(hexadecyloxy)phenyl)-1-(octadecyloxy)-1-oxopropan-2-yl)amino)(dimethylamino)methylene)-N-methylmethanaminium chloride",C64H122ClN3O4,2376443-64-8,C/[N+](C)=C(N[C@@H](CC1=CC=C(OCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCC)=C1)C(OCCCCCCCCCCCCCCCCCC)=O)/N(C)C.[Cl-],CCCCCCCCCCCCCCCCCCOC(=O)[C@H](Cc1ccc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c1)NC(N(C)C)=[N+](C)C.[Cl-],1033.15,0.12,0.01 (SD),72,L929,WST-1,"Neidhardt, 2018, Phys. Chem. Chem. Phys.",10.1039/C8CP03404D,CAS for neutral compound
