GAE_0,GAE_1,GAE_2,GAE_3,GAE_4,GAE_5,GAE_6,GAE_7,GAE_8,GAE_9,GAE_10,GAE_11,GAE_12,GAE_13,GAE_14,GAE_15,GAE_16,GAE_17,GAE_18,GAE_19,GAE_20,GAE_21,GAE_22,GAE_23,GAE_24,GAE_25,GAE_26,GAE_27,GAE_28,GAE_29,GAE_30,GAE_31
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
-0.15685779,0.024059942,0.85359985,-0.21230139,-0.88153017,1.052834,0.61511034,-0.123537645,0.17359546,0.22437482,-0.47301266,1.176752,-0.40802357,0.820528,-0.28264323,-0.28514597,0.3634462,0.120044,-0.048625287,-1.1974407,0.5660868,-0.33543184,-0.59813654,0.016295258,-0.3864681,0.28779492,0.94519156,0.54609865,-0.86349,1.0155922,0.5666531,0.8008966
0.08498067,0.11582355,0.49242392,-0.3023333,-0.46768093,0.8016949,0.44190192,-0.04717698,-0.024104875,-0.1653511,-0.3132298,0.726985,-0.42826933,0.5430593,-0.29485393,-0.13295712,0.23203737,0.0874259,-0.10320535,-0.8157473,0.45067003,-0.17205052,-0.4606675,0.057462253,-0.2249688,0.24747285,0.76660615,0.42587522,-0.62651056,0.6862376,0.47229728,0.5610565
0.08498067,0.11582355,0.49242392,-0.3023333,-0.46768093,0.8016949,0.44190192,-0.04717698,-0.024104875,-0.1653511,-0.3132298,0.726985,-0.42826933,0.5430593,-0.29485393,-0.13295712,0.23203737,0.0874259,-0.10320535,-0.8157473,0.45067003,-0.17205052,-0.4606675,0.057462253,-0.2249688,0.24747285,0.76660615,0.42587522,-0.62651056,0.6862376,0.47229728,0.5610565
0.08498067,0.11582355,0.49242392,-0.3023333,-0.46768093,0.8016949,0.44190192,-0.04717698,-0.024104875,-0.1653511,-0.3132298,0.726985,-0.42826933,0.5430593,-0.29485393,-0.13295712,0.23203737,0.0874259,-0.10320535,-0.8157473,0.45067003,-0.17205052,-0.4606675,0.057462253,-0.2249688,0.24747285,0.76660615,0.42587522,-0.62651056,0.6862376,0.47229728,0.5610565
0.08498067,0.11582355,0.49242392,-0.3023333,-0.46768093,0.8016949,0.44190192,-0.04717698,-0.024104875,-0.1653511,-0.3132298,0.726985,-0.42826933,0.5430593,-0.29485393,-0.13295712,0.23203737,0.0874259,-0.10320535,-0.8157473,0.45067003,-0.17205052,-0.4606675,0.057462253,-0.2249688,0.24747285,0.76660615,0.42587522,-0.62651056,0.6862376,0.47229728,0.5610565
