GT_0,GT_1,GT_2,GT_3,GT_4,GT_5,GT_6,GT_7,GT_8,GT_9,GT_10,GT_11,GT_12,GT_13,GT_14,GT_15,GT_16,GT_17,GT_18,GT_19,GT_20,GT_21,GT_22,GT_23,GT_24,GT_25,GT_26,GT_27,GT_28,GT_29,GT_30,GT_31,GT_32,GT_33,GT_34,GT_35,GT_36,GT_37,GT_38,GT_39,GT_40,GT_41,GT_42,GT_43,GT_44,GT_45,GT_46,GT_47,GT_48,GT_49,GT_50,GT_51,GT_52,GT_53,GT_54,GT_55,GT_56,GT_57,GT_58,GT_59,GT_60,GT_61,GT_62,GT_63
2.4134688,-2.5922787,-2.1158986,-6.3353915,-1.6548107,-0.058889803,1.6585888,9.763467,-1.6521641,4.8484273,1.868354,-7.6469073,2.2481308,2.9365976,3.1224566,-1.397376,-1.0903425,2.4809103,1.4383223,0.604146,5.816599,-3.1212661,4.697392,4.593569,1.7459887,-4.789639,3.3745513,5.4693637,1.4514614,-2.265027,-9.476276,-3.4502428,-6.466181,-0.10758596,-0.859795,-1.3150598,3.9837637,-9.2674055,-0.4076539,-2.1380389,4.2916455,-2.4859507,-1.3830377,-1.9394469,-0.6762804,5.3447285,0.42733058,0.2864627,2.5141923,6.2360654,0.38392514,4.0026126,0.95500374,-2.6512253,2.8921356,5.210471,-2.0532627,-4.4531174,3.3135264,2.9951437,3.4306374,-6.4070907,5.137859,4.503856
2.0861497,-1.9599539,-2.0755394,-6.03442,-1.4732696,-0.3308815,1.5847188,9.279463,-1.7615206,4.6411967,1.9460083,-6.9737363,2.1484203,2.949416,3.088409,-1.5469538,-1.3606755,2.6589959,1.7013931,0.66260767,5.677064,-2.7152605,4.16512,4.5868125,1.8950665,-4.9687805,3.9725928,4.644427,1.3291727,-2.242604,-9.546041,-3.632559,-6.180533,-0.090395264,-0.76494956,-1.327657,3.8248692,-9.023135,-0.93715626,-2.2209535,3.527427,-2.2084281,-1.5043358,-2.1020985,-0.9194125,5.239825,0.56600493,0.15181021,2.167078,5.733814,0.9253191,3.612516,0.7849802,-2.7254567,2.4761496,5.1036315,-1.6530975,-3.868474,2.7232366,3.4186807,2.9033997,-5.745678,4.7160215,3.889905
2.484173,-2.2143855,-2.1965168,-6.2588964,-1.6696637,-0.27556783,1.6698842,9.310497,-1.4000202,4.153836,1.5943806,-7.2053633,2.0584278,2.5984948,3.5594664,-1.4777794,-1.3068177,2.599368,1.3715342,0.86856127,5.289751,-3.1754546,4.2064,4.308628,1.6661978,-5.003111,3.6555438,4.7433853,1.2640146,-2.2920134,-9.578863,-3.1928926,-5.968571,0.23431309,-0.84612274,-1.3151418,3.841703,-8.559246,-0.7459708,-1.9599712,3.6325173,-2.8006265,-1.5697942,-1.6793883,-0.5221609,4.723106,0.72481,0.30133045,2.132369,5.6953387,0.80043274,3.8738673,1.0774761,-2.493351,2.8488271,4.971616,-1.6562397,-4.089396,2.737576,2.9210489,3.1776795,-6.062423,5.025377,4.1078467
2.4520912,-2.1390488,-2.2129905,-6.281883,-1.6668136,-0.30761483,1.6597764,9.316384,-1.427514,4.1511073,1.6184105,-7.1366277,2.0448487,2.6086426,3.5693681,-1.5248463,-1.3607224,2.6357067,1.4143617,0.8854225,5.319743,-3.1394074,4.174218,4.330444,1.7034925,-5.0563912,3.7615037,4.6637774,1.2711973,-2.3055112,-9.662805,-3.2474911,-5.9691744,0.25278816,-0.8313275,-1.3248701,3.8488057,-8.595578,-0.82276136,-2.0032985,3.5652106,-2.758455,-1.5875623,-1.7098855,-0.5649031,4.7412953,0.73694927,0.2960051,2.1021636,5.6675496,0.87742263,3.842035,1.0614941,-2.5239892,2.8050256,5.010527,-1.5968456,-4.032935,2.679127,2.9938583,3.1326604,-6.0118804,4.984101,4.032159
2.4520912,-2.1390488,-2.2129905,-6.281883,-1.6668136,-0.30761483,1.6597764,9.316384,-1.427514,4.1511073,1.6184105,-7.1366277,2.0448487,2.6086426,3.5693681,-1.5248463,-1.3607224,2.6357067,1.4143617,0.8854225,5.319743,-3.1394074,4.174218,4.330444,1.7034925,-5.0563912,3.7615037,4.6637774,1.2711973,-2.3055112,-9.662805,-3.2474911,-5.9691744,0.25278816,-0.8313275,-1.3248701,3.8488057,-8.595578,-0.82276136,-2.0032985,3.5652106,-2.758455,-1.5875623,-1.7098855,-0.5649031,4.7412953,0.73694927,0.2960051,2.1021636,5.6675496,0.87742263,3.842035,1.0614941,-2.5239892,2.8050256,5.010527,-1.5968456,-4.032935,2.679127,2.9938583,3.1326604,-6.0118804,4.984101,4.032159
2.4520912,-2.1390488,-2.2129905,-6.281883,-1.6668136,-0.30761483,1.6597764,9.316384,-1.427514,4.1511073,1.6184105,-7.1366277,2.0448487,2.6086426,3.5693681,-1.5248463,-1.3607224,2.6357067,1.4143617,0.8854225,5.319743,-3.1394074,4.174218,4.330444,1.7034925,-5.0563912,3.7615037,4.6637774,1.2711973,-2.3055112,-9.662805,-3.2474911,-5.9691744,0.25278816,-0.8313275,-1.3248701,3.8488057,-8.595578,-0.82276136,-2.0032985,3.5652106,-2.758455,-1.5875623,-1.7098855,-0.5649031,4.7412953,0.73694927,0.2960051,2.1021636,5.6675496,0.87742263,3.842035,1.0614941,-2.5239892,2.8050256,5.010527,-1.5968456,-4.032935,2.679127,2.9938583,3.1326604,-6.0118804,4.984101,4.032159
2.4520912,-2.1390488,-2.2129905,-6.281883,-1.6668136,-0.30761483,1.6597764,9.316384,-1.427514,4.1511073,1.6184105,-7.1366277,2.0448487,2.6086426,3.5693681,-1.5248463,-1.3607224,2.6357067,1.4143617,0.8854225,5.319743,-3.1394074,4.174218,4.330444,1.7034925,-5.0563912,3.7615037,4.6637774,1.2711973,-2.3055112,-9.662805,-3.2474911,-5.9691744,0.25278816,-0.8313275,-1.3248701,3.8488057,-8.595578,-0.82276136,-2.0032985,3.5652106,-2.758455,-1.5875623,-1.7098855,-0.5649031,4.7412953,0.73694927,0.2960051,2.1021636,5.6675496,0.87742263,3.842035,1.0614941,-2.5239892,2.8050256,5.010527,-1.5968456,-4.032935,2.679127,2.9938583,3.1326604,-6.0118804,4.984101,4.032159
2.4520912,-2.1390488,-2.2129905,-6.281883,-1.6668136,-0.30761483,1.6597764,9.316384,-1.427514,4.1511073,1.6184105,-7.1366277,2.0448487,2.6086426,3.5693681,-1.5248463,-1.3607224,2.6357067,1.4143617,0.8854225,5.319743,-3.1394074,4.174218,4.330444,1.7034925,-5.0563912,3.7615037,4.6637774,1.2711973,-2.3055112,-9.662805,-3.2474911,-5.9691744,0.25278816,-0.8313275,-1.3248701,3.8488057,-8.595578,-0.82276136,-2.0032985,3.5652106,-2.758455,-1.5875623,-1.7098855,-0.5649031,4.7412953,0.73694927,0.2960051,2.1021636,5.6675496,0.87742263,3.842035,1.0614941,-2.5239892,2.8050256,5.010527,-1.5968456,-4.032935,2.679127,2.9938583,3.1326604,-6.0118804,4.984101,4.032159
2.4520912,-2.1390488,-2.2129905,-6.281883,-1.6668136,-0.30761483,1.6597764,9.316384,-1.427514,4.1511073,1.6184105,-7.1366277,2.0448487,2.6086426,3.5693681,-1.5248463,-1.3607224,2.6357067,1.4143617,0.8854225,5.319743,-3.1394074,4.174218,4.330444,1.7034925,-5.0563912,3.7615037,4.6637774,1.2711973,-2.3055112,-9.662805,-3.2474911,-5.9691744,0.25278816,-0.8313275,-1.3248701,3.8488057,-8.595578,-0.82276136,-2.0032985,3.5652106,-2.758455,-1.5875623,-1.7098855,-0.5649031,4.7412953,0.73694927,0.2960051,2.1021636,5.6675496,0.87742263,3.842035,1.0614941,-2.5239892,2.8050256,5.010527,-1.5968456,-4.032935,2.679127,2.9938583,3.1326604,-6.0118804,4.984101,4.032159
2.4520912,-2.1390488,-2.2129905,-6.281883,-1.6668136,-0.30761483,1.6597764,9.316384,-1.427514,4.1511073,1.6184105,-7.1366277,2.0448487,2.6086426,3.5693681,-1.5248463,-1.3607224,2.6357067,1.4143617,0.8854225,5.319743,-3.1394074,4.174218,4.330444,1.7034925,-5.0563912,3.7615037,4.6637774,1.2711973,-2.3055112,-9.662805,-3.2474911,-5.9691744,0.25278816,-0.8313275,-1.3248701,3.8488057,-8.595578,-0.82276136,-2.0032985,3.5652106,-2.758455,-1.5875623,-1.7098855,-0.5649031,4.7412953,0.73694927,0.2960051,2.1021636,5.6675496,0.87742263,3.842035,1.0614941,-2.5239892,2.8050256,5.010527,-1.5968456,-4.032935,2.679127,2.9938583,3.1326604,-6.0118804,4.984101,4.032159
